name,position,pass_att,pass_cmp,pass_td,pass_yds,interceptions,receptions,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles,source_points
Kaleb Johnson,RB,,,,,,5.0,36.0,,42.0,174.0,1.0,,32.00
Devin Neal,RB,,,,,,7.0,49.0,,39.0,160.0,1.0,1.0,31.90
Jackson Hawes,TE,,,,,,13.0,129.0,1.0,,,,,31.90
Tommy Tremble,TE,,,,,,13.0,128.0,1.0,,,,,31.80
John Bates,TE,,,,,,13.0,128.0,1.0,,,,,31.80
Matt Hibner,TE,,,,,,13.0,128.0,1.0,,,,,31.80
Jaren Kanak,TE,,,,,,13.0,126.0,1.0,,,,,31.60
Drew Sample,TE,,,,,,13.0,126.0,1.0,,,,,31.60
Miles Kitselman,TE,,,,,,13.0,126.0,1.0,,,,,31.60
Lance Mason,TE,,,,,,13.0,126.0,1.0,,,,,31.60
Josh Oliver,TE,,,,,,13.0,124.0,1.0,,,,,31.40
Luke Schoonmaker,TE,,,,,,13.0,124.0,1.0,,,,,31.40
Isaiah Williams,WR,,,,,,12.0,135.0,1.0,3.0,18.0,,1.0,31.30
Kyle Williams,WR,,,,,,10.0,148.0,1.0,1.0,4.0,,,31.20
Colbie Young,WR,,,,,,11.0,140.0,1.0,,,,,31.00
J'Mari Taylor,RB,,,,,,5.0,37.0,,38.0,160.0,1.0,,30.70
Taylen Green,QB,53.0,32.0,2.0,335.0,2.0,,,,15.0,69.0,1.0,1.0,30.30
Aaron Anderson,WR,,,,,,11.0,132.0,1.0,,,,,30.20
Jimmy Horn,WR,,,,,,10.0,124.0,1.0,3.0,18.0,,,30.20
Adam Randall,RB,,,,,,8.0,58.0,,25.0,103.0,1.0,,30.10
Eric McAlister,WR,,,,,,11.0,131.0,1.0,,,,,30.10
DJ Giddens,RB,,,,,,6.0,43.0,,33.0,137.0,1.0,,30.00
Devontez Walker,WR,,,,,,10.0,133.0,1.0,1.0,6.0,,,29.90
Marlin Klein,TE,,,,,,12.0,115.0,1.0,,,,,29.50
Nick Westbrook-Ikhine,WR,,,,,,10.0,135.0,1.0,,,,,29.50
Eric Rivers,WR,,,,,,11.0,124.0,1.0,,,,,29.40
Brevyn Spann-Ford,TE,,,,,,12.0,114.0,1.0,,,,,29.40
Tai Felton,WR,,,,,,10.0,126.0,1.0,1.0,6.0,,,29.20
Brandin Cooks,WR,,,,,,10.0,128.0,1.0,,,,,28.80
Joe Flacco,QB,69.0,44.0,3.0,448.0,2.0,,,,4.0,8.0,,,28.72
Tyler Lockett,WR,,,,,,11.0,113.0,1.0,,,,,28.30
Odell Beckham,WR,,,,,,10.0,120.0,1.0,,,,,28.00
Gardner Minshew,QB,60.0,38.0,3.0,394.0,2.0,,,,6.0,22.0,,,27.96
Nick Chubb,RB,,,,,,5.0,31.0,,35.0,138.0,1.0,,27.90
Adam Trautman,TE,,,,,,11.0,108.0,1.0,,,,,27.80
Josh Cuevas,TE,,,,,,11.0,108.0,1.0,,,,,27.80
Kalif Raymond,WR,,,,,,9.0,116.0,1.0,2.0,11.0,,,27.70
Ben Sinnott,TE,,,,,,11.0,105.0,1.0,,,,,27.50
Nate Boerkircher,TE,,,,,,11.0,104.0,1.0,,,,,27.40
Brock Wright,TE,,,,,,11.0,103.0,1.0,,,,,27.30
Trey Benson,RB,,,,,,3.0,22.0,1.0,30.0,120.0,1.0,1.0,27.20
Derek Carr,QB,66.0,43.0,3.0,447.0,2.0,,,,4.0,13.0,,1.0,27.18
Jawhar Jordan,RB,,,,,,5.0,33.0,,31.0,127.0,1.0,,27.00
Will Dissly,TE,,,,,,11.0,100.0,1.0,,,,,27.00
Marquez Valdes-Scantling,WR,,,,,,8.0,123.0,1.0,1.0,6.0,,,26.90
David Sills,WR,,,,,,9.0,113.0,1.0,1.0,6.0,,,26.90
Roman Wilson,WR,,,,,,9.0,118.0,1.0,,,,,26.80
Mac Jones,QB,62.0,41.0,3.0,423.0,2.0,,,,5.0,18.0,,1.0,26.72
Najee Harris,RB,,,,,,5.0,36.0,,30.0,117.0,1.0,,26.30
Jerome Ford,RB,,,,,,6.0,44.0,,24.0,99.0,1.0,,26.30
Reggie Virgil,WR,,,,,,9.0,111.0,1.0,,,,,26.10
Jermaine Burton,WR,,,,,,8.0,114.0,1.0,1.0,6.0,,,26.00
Jahdae Walker,WR,,,,,,9.0,109.0,1.0,,,,,25.90
Grant Calcaterra,TE,,,,,,10.0,96.0,1.0,,,,,25.60
Desmond Reid,RB,,,,,,4.0,31.0,,29.0,122.0,1.0,,25.30
George Holani,RB,,,,,,4.0,29.0,,30.0,123.0,1.0,,25.20
Ja'Tavion Sanders,TE,,,,,,10.0,89.0,1.0,,,,,24.90
Demond Claiborne,RB,,,,,,4.0,30.0,,29.0,138.0,1.0,1.0,24.80
Tahj Brooks,RB,,,,,,3.0,22.0,,33.0,132.0,1.0,,24.40
Kareem Hunt,RB,,,,,,3.0,22.0,,35.0,130.0,1.0,,24.20
Xavier Smith,WR,,,,,,7.0,95.0,1.0,3.0,16.0,,,24.10
Cade Klubnik,QB,61.0,38.0,2.0,400.0,2.0,,,,5.0,20.0,,,24.00
Lil'Jordan Humphrey,WR,,,,,,8.0,100.0,1.0,,,,,24.00
Deion Burks,WR,,,,,,8.0,91.0,1.0,,2.0,,,23.30
Jordan Whittington,WR,,,,,,8.0,87.0,1.0,1.0,6.0,,,23.30
Ollie Gordon,RB,,,,,,3.0,22.0,,30.0,120.0,1.0,,23.20
Audric Estime,RB,,,,,,3.0,17.0,,30.0,119.0,1.0,,22.60
Will Howard,QB,64.0,40.0,2.0,410.0,2.0,,,,5.0,21.0,,1.0,22.50
Drew Allar,QB,62.0,39.0,2.0,398.0,2.0,,,,5.0,21.0,,1.0,22.02
Younghoe Koo,K,,,,,,,,,,,,,22.00
Drew Stevens,K,,,,,,,,,,,,,22.00
Matt Prater,K,,,,,,,,,,,,,22.00
Graham Gano,K,,,,,,,,,,,,,22.00
Michael Badgley,K,,,,,,,,,,,,,22.00
Dameon Pierce,RB,,,,,,3.0,22.0,,25.0,106.0,1.0,,21.80
Anthony Richardson,QB,28.0,16.0,1.0,193.0,1.0,,,,8.0,46.0,1.0,,21.32
Isaac Guerendo,RB,,,,,,2.0,16.0,,28.0,116.0,1.0,,21.20
