rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
83,WR32,Luther Burden III,WR,CHI,171.3,136.7,206.4,7.6,77.0,-6.0,205.9,QUESTIONABLE,dk+hist,0.0,0.0,0.0,37.67,0.0,62.59,874.5,2.92,0.0
84,QB23,Bryce Young,QB,CAR,217.4,167.7,270.1,7.3,168.8,84.8,237.5,ACTIVE,dk+hist,2924.5,20.5,10.84,239.06,4.2,0.0,0.0,0.0,4.49
85,WR33,Deebo Samuel,WR,SF,170.4,135.3,206.2,6.7,131.0,46.0,161.0,ACTIVE,vegas,0.0,0.0,0.0,89.0,1.0,63.5,699.5,4.0,1.0
86,WR34,Michael Pittman Jr.,WR,PIT,169.0,134.2,204.8,5.3,91.3,5.3,197.3,QUESTIONABLE,dk+hist,0.0,0.0,0.0,0.0,0.0,70.19,745.43,4.21,0.49
87,TE7,Tucker Kraft,TE,GB,168.6,132.0,206.1,5.1,90.1,3.1,180.7,QUESTIONABLE,dk+hist,0.0,0.0,0.0,4.19,0.0,47.5,699.5,8.56,0.32
88,RB24,TreVeyon Henderson,RB,NE,164.0,130.9,198.9,0.5,77.8,-10.2,197.4,QUESTIONABLE,dk+hist,0.0,0.0,0.0,699.5,5.95,33.73,209.62,1.06,1.37
89,RB25,Jaylen Warren,RB,PIT,164.0,132.1,197.4,0.5,98.9,9.9,191.7,ACTIVE,dk+hist,0.0,0.0,0.0,624.5,3.66,39.12,329.43,1.42,0.52
90,WR35,Carnell Tate,WR,TEN,163.9,130.5,199.6,0.2,78.6,-11.5,202.4,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,61.8,790.78,4.1,0.8
91,QB24,Cam Ward,QB,TEN,210.2,160.1,263.5,0.1,169.0,78.0,219.9,ACTIVE,vegas,3299.5,20.5,13.0,182.0,2.0,0.0,0.0,0.0,4.0
92,QB25,Malik Willis,QB,MIA,210.1,164.9,257.8,0.0,166.8,74.8,239.1,ACTIVE,dk+hist,2949.5,14.38,0.0,137.63,3.97,0.0,0.0,0.0,1.5
93,WR36,Parker Washington,WR,JAX,163.7,129.2,199.7,0.0,95.5,2.5,187.3,QUESTIONABLE,dk+hist,0.0,0.0,0.0,0.0,0.0,54.3,778.71,5.26,0.0
94,RB26,Rico Dowdle,RB,PIT,163.5,130.2,197.4,0.0,104.3,10.3,186.1,ACTIVE,dk+hist,0.0,0.0,0.0,699.5,3.47,37.98,274.29,1.84,1.86
95,WR37,Jordyn Tyson,WR,NO,163.2,130.4,198.3,-0.5,164.1,69.1,99.8,DOUBTFUL,dk+hist,0.0,0.0,0.0,0.0,0.0,60.5,774.5,4.47,0.8
96,QB26,Daniel Jones,QB,IND,209.1,159.5,259.5,-1.0,158.5,62.5,267.2,ACTIVE,vegas,3299.5,18.5,11.0,191.0,2.0,0.0,0.0,0.0,3.0
97,WR38,Courtland Sutton,WR,DEN,162.5,126.7,198.6,-1.2,80.5,-16.5,204.4,ACTIVE,dk+hist,12.9,0.43,0.0,0.0,0.0,51.2,699.5,6.69,0.49
98,RB27,Rhamondre Stevenson,RB,NE,162.0,126.5,197.9,-1.5,84.7,-13.3,202.8,ACTIVE,dk+hist,0.0,0.0,0.0,624.5,5.95,31.82,291.43,1.85,4.13
99,QB27,Geno Smith,QB,NYJ,208.5,158.5,259.6,-1.6,170.2,71.2,232.3,ACTIVE,vegas,3372.0,22.0,14.0,156.0,1.0,0.0,0.0,0.0,4.0
100,RB28,Chuba Hubbard,RB,CAR,161.9,127.8,197.8,-1.6,122.2,22.2,172.9,QUESTIONABLE,dk+hist,0.0,0.0,0.0,699.5,4.52,34.36,203.03,2.48,2.34
101,TE8,George Kittle,TE,SF,161.8,127.1,197.5,-1.7,95.8,-5.2,176.8,QUESTIONABLE,dk+hist,0.0,0.0,0.0,0.07,0.0,57.31,699.5,5.75,0.0
102,WR39,Wan'Dale Robinson,WR,TEN,161.3,128.7,195.1,-2.4,114.4,12.3,175.0,ACTIVE,dk+hist,0.0,0.0,0.0,9.43,0.0,71.85,699.5,3.09,0.0
103,QB28,Aaron Rodgers,QB,PIT,207.4,158.6,257.0,-2.7,169.2,66.2,219.2,ACTIVE,dk+hist,3149.5,21.79,7.52,77.64,0.75,0.68,0.21,0.0,1.83
104,WR40,Jordan Addison,WR,MIN,160.6,126.9,196.0,-3.1,115.5,11.5,170.5,ACTIVE,dk+hist,0.0,0.0,0.0,61.87,1.19,47.86,674.5,5.32,0.0
105,RB29,Tony Pollard,RB,TEN,160.1,125.3,195.7,-3.4,107.3,2.3,185.8,ACTIVE,dk+hist,0.0,0.0,0.0,799.5,5.12,35.01,215.63,0.0,3.57
106,TE9,Brenton Strange,TE,JAX,160.1,126.6,194.7,-3.4,167.9,61.9,142.5,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,63.0,680.0,5.0,0.44
107,WR41,Marvin Harrison Jr.,WR,ARI,160.2,127.0,195.4,-3.5,86.2,-20.8,193.8,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,54.35,824.5,4.04,0.4
108,WR42,Chris Godwin,WR,TB,160.2,127.0,194.5,-3.5,143.7,35.7,157.4,ACTIVE,dk+hist,0.0,0.0,0.0,0.99,0.0,62.24,699.5,4.66,0.0
109,WR43,Quentin Johnston,WR,LA,159.0,124.0,195.2,-4.7,138.0,29.0,165.4,QUESTIONABLE,dk+hist,0.0,0.0,0.0,7.0,0.0,47.1,649.5,8.03,0.95
110,TE10,Travis Kelce,TE,KC,157.8,125.0,191.5,-5.7,97.1,-12.9,177.5,ACTIVE,dk+hist,0.0,0.0,0.0,0.99,0.0,67.11,674.5,4.02,0.5
111,WR44,Brian Thomas Jr.,WR,JAX,157.7,126.0,190.4,-6.0,103.0,-8.0,176.7,ACTIVE,dk+hist,0.0,0.0,0.0,30.64,0.81,50.89,728.44,4.34,0.0
112,WR45,Michael Wilson,WR,ARI,156.8,122.7,191.9,-6.9,103.7,-8.3,176.5,ACTIVE,dk+hist,0.0,0.0,0.0,3.0,0.0,55.13,708.95,5.25,0.51
