rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
290,RB77,Jaylen Wright,RB,MIA,45.7,26.3,65.5,-135.3,170.4,-119.6,43.4,ACTIVE,hist,0.0,0.0,0.0,300.16,1.71,4.59,36.03,0.0,1.39
291,WR126,Tyler Johnson,WR,DAL,45.7,27.7,65.0,-135.7,170.0,-121.0,,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,16.33,226.46,1.12,0.0
292,RB78,Malik Davis,RB,DAL,44.1,24.2,64.8,-136.9,170.0,-122.0,0.0,ACTIVE,hist,0.0,0.0,0.0,265.75,2.32,2.03,15.95,0.0,0.0
293,WR127,Ray-Ray McCloud,WR,CHI,44.0,26.2,61.9,-137.4,169.9,-123.1,,ACTIVE,hist,0.0,0.0,0.0,18.49,0.0,20.09,211.29,0.24,0.27
294,WR128,Jack Bech,WR,LV,42.6,25.6,60.6,-138.8,170.6,-123.4,65.9,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,19.98,226.48,0.0,0.0
295,WR129,Jordan Whittington,WR,LAR,42.4,24.6,60.4,-139.0,169.9,-125.1,31.7,ACTIVE,hist,0.0,0.0,0.0,12.28,0.0,19.4,217.53,0.0,0.0
296,QB33,Justin Fields,QB,KC,134.1,100.1,169.3,-142.3,169.9,-126.1,10.7,ACTIVE,hist,1237.85,6.42,1.02,358.05,5.23,0.0,0.0,0.0,3.12
297,QB34,Joe Flacco,QB,CIN,128.9,90.9,167.4,-147.5,169.9,-127.1,10.5,ACTIVE,hist,2309.96,14.75,9.3,33.75,0.63,0.0,0.0,0.0,5.51
298,QB35,Kirk Cousins,QB,LV,127.7,92.7,164.8,-148.7,169.9,-128.1,45.8,ACTIVE,hist,2278.66,12.74,8.25,5.46,0.88,0.0,0.0,0.0,1.88
299,QB36,J.J. McCarthy,QB,MIN,125.4,87.1,164.3,-151.0,169.6,-129.4,39.8,ACTIVE,hist,1635.57,11.08,12.14,186.45,4.49,0.0,0.0,0.0,2.84
